team,log_attack,log_defence,matches_played,log_attack_shrunk,log_defence_shrunk,attack_shrunk,defence_shrunk,net_raw,net_shrunk
France,1.42329442169788,1.2335673714107631,230,0.9919933832791866,0.8597590770438652,2.696604484614964,2.3625914226236353,0.1897270502871169,0.1322343062353214
Ghana,0.8582608514593676,0.5842013223570338,91,0.4089101412273382,0.2783367556779585,1.5051764610990959,1.3209309533165405,0.2740595291023338,0.1305733855493797
Djibouti,-0.3876590515724593,-0.9359020439561583,31,-0.09173535196280218,-0.2214730027682512,0.9123465683267299,0.8013375557516115,0.548242992383699,0.12973765080544902
Myanmar,-0.4459039512782878,-0.9979353993827307,30,-0.1029001465133037,-0.23029278447293783,0.9022170585028383,0.794301009452772,0.5520314481044428,0.12739263795963413
Saint Lucia,-0.37389847813022264,-0.9794162353782034,26,-0.07715286460132251,-0.20210176285581977,0.9257483286405096,0.8170117822595362,0.6055177572479808,0.12494889825449726
North Korea,0.24060415323484075,-0.05171976687111096,74,0.10232647604021476,-0.021995762922196616,1.1077450649213276,0.9782443799399775,0.2923239201059517,0.12432223896241137
Papua New Guinea,-0.5344759305731236,-1.2487967306971568,21,-0.09275946322658217,-0.21673331689785366,0.9114127022026639,0.805144659152031,0.7143208001240332,0.12397385367127149
Belgium,1.2225003540621184,1.0444330786545406,215,0.8344053194126179,0.7128670219388133,2.30344382757718,2.0398311237190696,0.17806727540757783,0.12153829747380451
Gabon,0.21858774925346092,-0.08978275459296434,64,0.08530314295024788,-0.03503717252408364,1.0890471536312183,0.9655695229341021,0.3083705038464253,0.12034031547433152
Senegal,0.9575470560521402,0.6886820864141274,74,0.4072332278130892,0.29288778387727255,1.5026545256253614,1.3402923795784205,0.26886496963801276,0.11434544393581664
Solomon Islands,-0.6838921655914652,-1.1045309459245733,37,-0.18470007762967197,-0.2983039780964176,0.8313535880030055,0.7420757306913925,0.4206387803331082,0.11360390046674565
Bhutan,-0.6608671999651907,-1.5507161860631602,14,-0.08115825708678524,-0.19043882986740562,0.9220477593052505,0.8265963191890616,0.8898489860979695,0.10928057278062038
Benin,0.5031683135555266,0.17621287520884896,50,0.16772343446263654,0.058737625069616314,1.182609496384771,1.0604969564192281,0.3269554383466776,0.10898580939302023
Botswana,0.17927657519008156,-0.18364421555559488,42,0.05302616654649702,-0.05431730319249989,1.0544572362626736,0.9471315309590399,0.3629207907456764,0.10734346973899692
Fiji,-0.6202979194691071,-1.1861045351447765,23,-0.11598985899325455,-0.22179190494577122,0.8904842536585071,0.8010820482032759,0.5658066156756695,0.10580204595251667
Central African Republic,0.08675104362078769,-0.4158657532326138,26,0.01790179861713994,-0.08581356812736475,1.0180629962867078,0.917765315978327,0.5026167968534015,0.10371536674450468
Cyprus,0.23797633015789288,0.07536334074469754,176,0.15175338260655183,0.048057782503865096,1.1638731696683309,1.0492312807834454,0.16261298941319535,0.10369560010268673
Kazakhstan,0.3057222720145352,0.1500413365781598,157,0.1867645766455299,0.09165949355163848,1.2053434856380532,1.0959915663407414,0.15568093543637543,0.09510508309389142
Trinidad and Tobago,-0.04481168973570741,-0.22848457614146703,106,-0.023057959322164243,-0.1175697333543471,0.9772058439435599,0.8890785111578577,0.18367288640575963,0.09451177403218286
